source_cid,place_key,name,reason
ENP034593,034593,Seoul Beer Festival,invalid_event_end_date
ENP034591,034591,Seodaemun Independence Democracy Festival,invalid_event_end_date
ENP034312,034312,The 17th Seoul International Food & Tableware Festival 2020,invalid_event_end_date
ENP033051,033051,2020 Sevit Illumination Light Festival,invalid_event_end_date
ENP032735,032735,ASSITEJ Korea Winter Festival 2020,invalid_event_end_date
ENP032846,032846,Haneul Park Sunrise Festival 2020,invalid_event_end_date
ENP032840,032840,Achasan Sunrise Festival 2020,invalid_event_end_date
ENP032659,032659,17th Seoul Creative Festival,invalid_event_end_date
ENP032423,032423,DDP Light & Winter Festa,invalid_event_end_date
ENP032279,032279,Seoul Light,invalid_event_end_date
ENP041939,041939,Seoul Beauty Travel Week,invalid_event_end_date
ENP041733,041733,2022 Seoul Beauty Week,invalid_event_end_date
ENP041732,041732,Seoul Design 2022,invalid_event_end_date
ENP040455,040455,11th Annual World Coffee Leaders Forum,invalid_event_end_date
ENP040454,040454,21st Annual Seoul Cafe Show,invalid_event_end_date
ENP037592,037592,Moonlight Walk at Changdeokgung Palace 2021,invalid_event_end_date
ENP036287,036287,K-Mas Live Market,invalid_event_end_date
ENP035914,035914,2020 Korea Dance Awards & Dance Night,invalid_event_end_date
ENP035379,035379,2020 Seoul Cafe Show,invalid_event_end_date
ENPi7ar6v,i7ar6v,"Touch Me Tell, A Children's Exhibition at Seoul Museum of Art by Melanie Bonajo",invalid_event_end_date
ENP4i105w,4i105w,Reflective Space: Void Towards The Realm of The Mind,invalid_event_end_date
ENPlim9ah,lim9ah,[S-TCEP] Bag & Shoes Loved by Celebrities,invalid_event_end_date
ENP12kduj,12kduj,[S-TCEP] National Geographic Photo Exhibition: Photo Ark,invalid_event_end_date
ENP3e60eb,3e60eb,"[S-TCEP] Hello, Creators! Seoul Design Incubating Center & Exhibition",invalid_event_end_date
ENPg939wm,g939wm,[S-TCEP] Jin Dallae & Park Woohyuk: Cosmos,invalid_event_end_date
ENPuucrur,uucrur,[S-TCEP] DDP Things Exhibition VOL. 1: TELE+VISION Memories of the Future,invalid_event_end_date
ENPhonaqg,honaqg,[S-TCEP] Circulation of Placeness: Media Artist Exhibition,invalid_event_end_date
ENPqljohs,qljohs,[S-TCEP] DDP Design Archive KSVD: 1972-1993,invalid_event_end_date
ENPk84x00,k84x00,I Like It,invalid_event_end_date
ENP040581,040581,POETIC AI,invalid_event_end_date
ENP040579,040579,The Color Spot: Dreams' Nature,invalid_event_end_date
ENP040569,040569,SongEun Art and Cultural Foundation Exhibition Past. Present. Future,invalid_event_end_date
ENP040427,040427,The 21st Songeun Art Award Exhibition,invalid_event_end_date
ENP040295,040295,INSTANT DETECTION,invalid_event_end_date
ENP040285,040285,Ai Weiwei : Defend the Future,invalid_event_end_date
ENP040284,040284,"Shark, Bite the New World",invalid_event_end_date
ENP040283,040283,Accidentally Wes Anderson : Discover Adventure Everywhere Around You,invalid_event_end_date
ENP040210,040210,Forest of Falling Poetry,invalid_event_end_date
ENP039903,039903,"Obsidian, roll over and over",invalid_event_end_date
ENP039864,039864,Maya: Sacred City – Tak’alik Ab’a,invalid_event_end_date
ENP039901,039901,West Gate of Seoul: Sold for Pennies,invalid_event_end_date
ENP039867,039867,Fashion and Seoul 1945-2020,invalid_event_end_date
ENP039735,039735,Flowers on the Border,invalid_event_end_date
ENP039307,039307,dreamer.3:45am,invalid_event_end_date
ENP039103,039103,The 11th Seoul Media City Biennale: Escape Day After Day,invalid_event_end_date
ENP039101,039101,2021 Seoullo Media Canvas 3rd Exhibition,invalid_event_end_date
ENP038781,038781,Dreaming of Normal Again,invalid_event_end_date
ENP038467,038467,Piknic Gardening,invalid_event_end_date
ENP038455,038455,Movement Making Movement,invalid_event_end_date
ENP038454,038454,MMCA Lee Kun-hee Collection: Masterpieces of Korean Art,invalid_event_end_date
ENP038443,038443,Moomin Original: Moomin 75th Anniversary Special Exhibition,invalid_event_end_date
ENP038435,038435,BVLGARI Colors Exhibition,invalid_event_end_date
ENP038441,038441,Jane Jin Kaisen: Community of Parting,invalid_event_end_date
ENP038202,038202,Whashin Department Store: Jongno's Old Landmark,invalid_event_end_date
ENP038110,038110,Blue Room,invalid_event_end_date
ENP038107,038107,Photographs by Yosigo: Holiday Memories,invalid_event_end_date
ENP038094,038094,Heritage of Seoul's Traditional Crafts,invalid_event_end_date
ENP038093,038093,"Craft, Moving Beyond Time and Boundaries",invalid_event_end_date
ENP038074,038074,Chung Sang Hwa,invalid_event_end_date
ENP038071,038071,Homin and Jaehwan,invalid_event_end_date
ENP038069,038069,Seoullo Aquatic Botanical Garden,invalid_event_end_date
ENP038067,038067,Face to Face,invalid_event_end_date
ENP038051,038051,Hello Peony,invalid_event_end_date
ENP038050,038050,Flexible Imagination,invalid_event_end_date
ENP038047,038047,Solid City,invalid_event_end_date
ENP037903,037903,Hwan Young Illusion: Between Reality and Fantasy,invalid_event_end_date
ENP037956,037956,Marcello Barenghi Exhibition,invalid_event_end_date
ENP037899,037899,The Beatles by Robert Whitaker,invalid_event_end_date
ENP037902,037902,Picasso's 140th Birthday Special Exhibition,invalid_event_end_date
